Token	File	Line	Snippet
MANUAL_MAPPING_DIR	.env	32	MANUAL_MAPPING_DIR=${PREPROCESSED_DIR}/manual_mappings
MANUAL_MAPPING_DIR	.env	33	MANUAL_PROCESSED_DIR=${MANUAL_MAPPING_DIR}/processed_${TARGET_WIDTH}x${TARGET_HEIGHT}
MANUAL_MAPPING_DIR	analysis/images/segmentation_mmseg/paths.py	26	MANUAL_MAPPING_DIR   = require_env_path("MANUAL_MAPPING_DIR")
MANUAL_MASKS_DIR	paths.py	39	MANUAL_MASKS_DIR    = require_env_path("MANUAL_MASKS_DIR")
MANUAL_MASKS_DIR	paths.py	41	MANUAL_MASKS_DIR / "Manuais",
MANUAL_MASKS_DIR	paths.py	42	MANUAL_MASKS_DIR / "Treshold"
MANUAL_MASKS_DIR	config.py	57	MANUAL_MASKS_DIR      = _get_path("MANUAL_MASKS_DIR", "manual_masks")
MANUAL_MASKS_DIR	.env	31	MANUAL_MASKS_DIR=${BASE_PATH}/manual_masks
MANUAL_MASKS_DIR	analysis/images/segmentation_mmseg/paths.py	35	MANUAL_MASKS_DIR         = BASE_PATH / "manual_masks"
MANUAL_MASKS_DIR	analysis/images/segmentation_mmseg/paths.py	36	MANUAL_THRESHOLD_MAPPING = MANUAL_MASKS_DIR / "image_mapping_thresholded_and_manual.json"
MANUAL_MASKS_DIR	analysis/images/segmentation_mmseg/paths.py	39	Path(p) for p in glob.glob(str(MANUAL_MASKS_DIR / "masks-batch-*"))
MANUAL_MASKS_DIR	analysis/images/segmentation_mmseg/preprocessing/manual_masks_mapping.py	9	from paths import ORIGINAL_MAPPING, MANUAL_MASKS_DIR  # <- only use these
MANUAL_MASKS_DIR	analysis/images/segmentation_mmseg/preprocessing/manual_masks_mapping.py	13	OUTPUT_PATH = Path(MANUAL_MASKS_DIR) / "image_mapping_thresholded_and_manual.json"
MANUAL_MASKS_DIR	analysis/images/segmentation_mmseg/preprocessing/manual_masks_mapping.py	47	batch_dirs = discover_batch_dirs(Path(MANUAL_MASKS_DIR))
MANUAL_MASKS_DIR	analysis/images/segmentation_mmseg/preprocessing/manual_masks_mapping.py	51	print("[FATAL] Found 0 mask files. Check MANUAL_MASKS_DIR.")
MANUAL_MASKS_DIR	analysis/images/segmentation_mmseg/datasets/day_datasets.py	32	MASKS_FOLDER = Path(os.environ["MANUAL_MASKS_DIR"])
MANUAL_MASK_FOLDERS	paths.py	40	MANUAL_MASK_FOLDERS = [
MANUAL_MASK_FOLDERS	analysis/images/segmentation_mmseg/paths.py	38	MANUAL_MASK_FOLDERS = [
MANUAL_MASK_FOLDERS	analysis/images/segmentation_mmseg/preprocessing/manual_masks_mapping.py	46	# *** new: discover batches here, ignore MANUAL_MASK_FOLDERS entirely
MANUAL_PROCESSED_DIR	paths.py	51	MANUAL_PROCESSED_DIR     = require_env_path("MANUAL_PROCESSED_DIR")
MANUAL_PROCESSED_DIR	paths.py	52	PROCESSED_IMAGES_DIR     = MANUAL_PROCESSED_DIR / "images"
MANUAL_PROCESSED_DIR	paths.py	53	PROCESSED_MASKS_DIR      = MANUAL_PROCESSED_DIR / "masks"
MANUAL_PROCESSED_DIR	paths.py	56	MANUAL_SPLITS_DIR        = MANUAL_PROCESSED_DIR / "split"
MANUAL_PROCESSED_DIR	config.py	59	MANUAL_PROCESSED_DIR  = _get_path("MANUAL_PROCESSED_DIR", f"{MANUAL_MAPPING_DIR}/processed_{TARGET_SUFFIX}")
MANUAL_PROCESSED_DIR	config.py	60	MANUAL_SPLITS_DIR     = _get_path("MANUAL_SPLITS_DIR", f"{MANUAL_PROCESSED_DIR}/split")
MANUAL_PROCESSED_DIR	config.py	61	MAPPING_PROCESSED_TOTAL = _get_path("MAPPING_PROCESSED_TOTAL", f"{MANUAL_PROCESSED_DIR}/mapping_processed_total_{TARGET_SUFFIX}.json")
MANUAL_PROCESSED_DIR	.env	33	MANUAL_PROCESSED_DIR=${MANUAL_MAPPING_DIR}/processed_${TARGET_WIDTH}x${TARGET_HEIGHT}
MANUAL_PROCESSED_DIR	.env	34	MANUAL_SPLITS_DIR=${MANUAL_PROCESSED_DIR}/split
MANUAL_PROCESSED_DIR	.env	35	MAPPING_PROCESSED_TOTAL=${MANUAL_PROCESSED_DIR}/mapping_processed_total_${TARGET_WIDTH}x${TARGET_HEIGHT}.json
MANUAL_PROCESSED_DIR	analysis/images/segmentation_mmseg/paths.py	27	MANUAL_PROCESSED_DIR = require_env_path("MANUAL_PROCESSED_DIR")
MANUAL_PROCESSED_DIR	analysis/images/segmentation_mmseg/paths.py	44	PROCESSED_IMAGES_DIR = MANUAL_PROCESSED_DIR / "images"
MANUAL_PROCESSED_DIR	analysis/images/segmentation_mmseg/paths.py	45	PROCESSED_MASKS_DIR  = MANUAL_PROCESSED_DIR / "masks"
MANUAL_PROCESSED_DIR	analysis/images/segmentation_mmseg/paths.py	47	MANUAL_PROCESSED_DIR / f"mapping_processed_total_{TARGET_SIZE[0]}x{TARGET_SIZE[1]}.json"
MANUAL_PROCESSED_DIR	analysis/images/segmentation_mmseg/datasets/day_datasets.py	34	PREPROCESSED_FOLDER = Path(os.environ["MANUAL_PROCESSED_DIR"])
MANUAL_SPLITS_DIR	paths.py	56	MANUAL_SPLITS_DIR        = MANUAL_PROCESSED_DIR / "split"
MANUAL_SPLITS_DIR	config.py	60	MANUAL_SPLITS_DIR     = _get_path("MANUAL_SPLITS_DIR", f"{MANUAL_PROCESSED_DIR}/split")
MANUAL_SPLITS_DIR	.env	34	MANUAL_SPLITS_DIR=${MANUAL_PROCESSED_DIR}/split
MANUAL_THRESHOLD_MAPPING	analysis/images/segmentation_mmseg/paths.py	36	MANUAL_THRESHOLD_MAPPING = MANUAL_MASKS_DIR / "image_mapping_thresholded_and_manual.json"
MANUAL_THRESHOLD_MAPPING	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	9	from paths import TARGET_SIZE, PROCESSED_IMAGES_DIR, PROCESSED_MASKS_DIR, MANUAL_THRESHOLD_MAPPING, ORIGINAL_MAPPING
MANUAL_THRESHOLD_MAPPING	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	22	default=[str(MANUAL_THRESHOLD_MAPPING)],
MAPPING_PROCESSED_TOTAL	paths.py	54	MAPPING_PROCESSED_TOTAL  = require_env_path("MAPPING_PROCESSED_TOTAL")
MAPPING_PROCESSED_TOTAL	config.py	61	MAPPING_PROCESSED_TOTAL = _get_path("MAPPING_PROCESSED_TOTAL", f"{MANUAL_PROCESSED_DIR}/mapping_processed_total_{TARGET_SUFFIX}.json")
MAPPING_PROCESSED_TOTAL	.env	35	MAPPING_PROCESSED_TOTAL=${MANUAL_PROCESSED_DIR}/mapping_processed_total_${TARGET_WIDTH}x${TARGET_HEIGHT}.json
MAPPING_PROCESSED_TOTAL	analysis/images/segmentation_mmseg/paths.py	46	MAPPING_PROCESSED_TOTAL = (
MAPPING_PROCESSED_TOTAL	analysis/images/segmentation_mmseg/preprocessing/test_split.py	10	from paths import MAPPING_PROCESSED_TOTAL
MAPPING_PROCESSED_TOTAL	analysis/images/segmentation_mmseg/preprocessing/test_split.py	16	mapping_path = MAPPING_PROCESSED_TOTAL
MAPPING_PROCESSED_TOTAL	analysis/images/segmentation_mmseg/datasets/day_datasets.py	33	JSON_MAPPING_PATH = Path(os.environ["MAPPING_PROCESSED_TOTAL"])
META_FILE	paths.py	35	META_FILE         = require_env_path("META_FILE")
META_FILE	config.py	44	META_FILE      = _get_path("META_FILE", "Sample-Tracing.xlsx")
META_FILE	config.py	69	# Optional: assert META_FILE.exists(), etc. If too strict for dev, comment out.
META_FILE	.env	12	META_FILE=/net/projects2/promega/data-analysis/Sample-Tracing.xlsx
META_FILE	file_utils/images/paths.py	9	META_FILE = Path(os.getenv("META_FILE"))
META_FILE	file_utils/images/paths.py	9	META_FILE = Path(os.getenv("META_FILE"))
META_FILE	file_utils/images/scripts/mapping_system.py	25	logging.info(f"META_FILE     = {paths.META_FILE}")
META_FILE	file_utils/images/scripts/mapping_system.py	29	self.meta_file     = paths.META_FILE
NPY_OUTPUTS	paths.py	31	NPY_OUTPUTS       = require_env_path("NPY_OUTPUTS")
NPY_OUTPUTS	config.py	41	NPY_OUTPUTS    = _get_path("NPY_OUTPUTS", "npy_outputs")
NPY_OUTPUTS	.env	8	NPY_OUTPUTS=${BASE_PATH}/npy_outputs
ORIGINAL_MAPPING	paths.py	46	ORIGINAL_MAPPING = require_env_path("ORIGINAL_MAPPING")
ORIGINAL_MAPPING	config.py	52	ORIGINAL_MAPPING   = _get_path("ORIGINAL_MAPPING", f"output/image_mapping.json")
ORIGINAL_MAPPING	.env	20	ORIGINAL_MAPPING=${OUTPUT_FOLDER}/image_mapping.json
ORIGINAL_MAPPING	analysis/images/resize/resize_remap_images.py	12	from paths import TARGET_WIDTH, TARGET_HEIGHT, TARGET_SIZE, ORIGINAL_MAPPING, PROCESSED_DATA_DIR as OUTPUT_DIR
ORIGINAL_MAPPING	analysis/images/resize/resize_remap_images.py	27	with ORIGINAL_MAPPING.open() as f:
ORIGINAL_MAPPING	analysis/images/segmentation_mmseg/paths.py	25	ORIGINAL_MAPPING     = require_env_path("ORIGINAL_MAPPING")
ORIGINAL_MAPPING	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	9	from paths import TARGET_SIZE, PROCESSED_IMAGES_DIR, PROCESSED_MASKS_DIR, MANUAL_THRESHOLD_MAPPING, ORIGINAL_MAPPING
ORIGINAL_MAPPING	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	28	default=str(ORIGINAL_MAPPING),  # <- default to your env path
ORIGINAL_MAPPING	analysis/images/segmentation_mmseg/preprocessing/manual_masks_mapping.py	9	from paths import ORIGINAL_MAPPING, MANUAL_MASKS_DIR  # <- only use these
ORIGINAL_MAPPING	analysis/images/segmentation_mmseg/preprocessing/manual_masks_mapping.py	44	mapping = json.loads(Path(ORIGINAL_MAPPING).read_text())
ORIGINAL_MAPPING	file_utils/merge/merge_all_data.py	15	base_image_mapping_path = os.getenv("ORIGINAL_MAPPING")
ORIGINAL_MAPPING	file_utils/merge/merge_all_data.py	15	base_image_mapping_path = os.getenv("ORIGINAL_MAPPING")
OUTPUT_FOLDER	paths.py	28	OUTPUT_FOLDER     = require_env_path("OUTPUT_FOLDER")
OUTPUT_FOLDER	config.py	38	OUTPUT_FOLDER  = _get_path("OUTPUT_FOLDER", "output")
OUTPUT_FOLDER	.env	5	OUTPUT_FOLDER=/net/projects2/promega/data-analysis/output
OUTPUT_FOLDER	.env	20	ORIGINAL_MAPPING=${OUTPUT_FOLDER}/image_mapping.json
OUTPUT_FOLDER	.env	23	PREPROCESSED_DIR=${OUTPUT_FOLDER}/processed_dataset_${TARGET_WIDTH}x${TARGET_HEIGHT}
OUTPUT_FOLDER	.env	26	PROCESSED_PARENT_DIR=${OUTPUT_FOLDER}
OUTPUT_FOLDER	analysis/images/segmentation_mmseg/paths.py	22	OUTPUT_FOLDER        = require_env_path("OUTPUT_FOLDER")
OUTPUT_FOLDER	file_utils/images/paths.py	10	OUTPUT_FOLDER = Path(os.getenv("OUTPUT_FOLDER"))
OUTPUT_FOLDER	file_utils/images/paths.py	10	OUTPUT_FOLDER = Path(os.getenv("OUTPUT_FOLDER"))
OUTPUT_FOLDER	file_utils/images/scripts/mapping_system.py	26	logging.info(f"OUTPUT_FOLDER = {paths.OUTPUT_FOLDER}")
OUTPUT_FOLDER	file_utils/images/scripts/mapping_system.py	30	self.output_folder = paths.OUTPUT_FOLDER
OUTPUT_MASKS_BASE_DIR	analysis/images/segmentation_mmseg/paths.py	52	OUTPUT_MASKS_BASE_DIR = PREDICTIONS_DIR  # single source of truth
OUTPUT_MASKS_BASE_DIR	analysis/images/segmentation_mmseg/predict_masks.py	11	from paths import PROCESSED_DATA_DIR, OUTPUT_MASKS_BASE_DIR
OUTPUT_MASKS_BASE_DIR	analysis/images/segmentation_mmseg/predict_masks.py	29	OUTPUT_MASKS_BASE_DIR = '/net/projects2/promega/data-analysis/predictions'
OUTPUT_MASKS_BASE_DIR	analysis/images/segmentation_mmseg/predict_masks.py	71	output_dir = Path(OUTPUT_MASKS_BASE_DIR) / f"batch{batch_number}_{part}" / f"day{day_str}"
OUTPUT_MASKS_BASE_DIR	analysis/images/segmentation_mmseg/predict_masks.py	73	output_dir = Path(OUTPUT_MASKS_BASE_DIR) / f"batch{batch_number}" / f"day{day_str}"
PLOTS_FOLDER	run.sh	43	#     --work-dir ${PLOTS_FOLDER}/segformer_masks \
PLOTS_FOLDER	run.sh	60	--work-dir "${PLOTS_FOLDER}/segformer_masks" \
PLOTS_FOLDER	paths.py	29	PLOTS_FOLDER      = require_env_path("PLOTS_FOLDER")
PLOTS_FOLDER	config.py	39	PLOTS_FOLDER   = _get_path("PLOTS_FOLDER", "plots")
PLOTS_FOLDER	config.py	63	CONFIG_FILE_PATH   = _get_path("CONFIG_FILE_PATH", f"{PLOTS_FOLDER}/segformer_masks/config.py")
PLOTS_FOLDER	config.py	64	CHECKPOINT_FILE_PATH = _get_path("CHECKPOINT_FILE_PATH", f"{PLOTS_FOLDER}/segformer_masks/iter_1000.pth")
PLOTS_FOLDER	.env	6	PLOTS_FOLDER=${BASE_PATH}/plots
PLOTS_FOLDER	.env	38	CONFIG_FILE_PATH=${PLOTS_FOLDER}/segformer_masks/20250422_215204/vis_data/config.py
PLOTS_FOLDER	.env	39	CHECKPOINT_FILE_PATH=${PLOTS_FOLDER}/segformer_masks/iter_1000.pth
PLOTS_FOLDER	analysis/images/segmentation_mmseg/paths.py	23	PLOTS_FOLDER         = require_env_path("PLOTS_FOLDER")
PLOTS_FOLDER	analysis/images/segmentation_mmseg/paths.py	56	"config": PLOTS_FOLDER / "segformer_masks/512by384/models/early/vis_data/config.py",
PLOTS_FOLDER	analysis/images/segmentation_mmseg/paths.py	57	"checkpoint": PLOTS_FOLDER / "segformer_masks/512by384/models/early/iter_1000.pth",
PLOTS_FOLDER	analysis/images/segmentation_mmseg/paths.py	61	"config": PLOTS_FOLDER / "segformer_masks/512by384/models/late/vis_data/config.py",
PLOTS_FOLDER	analysis/images/segmentation_mmseg/paths.py	62	"checkpoint": PLOTS_FOLDER / "segformer_masks/512by384/models/late/iter_1000.pth",
PREDICTIONS_DIR	config.py	42	PREDICTIONS_DIR= _get_path("PREDICTIONS_DIR", "predictions")
PREDICTIONS_DIR	.env	9	PREDICTIONS_DIR=${BASE_PATH}/predictions
PREDICTIONS_DIR	analysis/images/segmentation_mmseg/paths.py	24	PREDICTIONS_DIR      = require_env_path("PREDICTIONS_DIR")
PREDICTIONS_DIR	analysis/images/segmentation_mmseg/paths.py	52	OUTPUT_MASKS_BASE_DIR = PREDICTIONS_DIR  # single source of truth
PREPROCESSED_DIR	config.py	53	PREPROCESSED_DIR   = _get_path("PREPROCESSED_DIR", f"output/processed_dataset_{TARGET_SUFFIX}")
PREPROCESSED_DIR	config.py	55	PROCESSED_DATA_DIR = _get_path("PROCESSED_DATA_DIR", f"{PREPROCESSED_DIR}/auto_processed")
PREPROCESSED_DIR	config.py	58	MANUAL_MAPPING_DIR    = _get_path("MANUAL_MAPPING_DIR", f"{PREPROCESSED_DIR}/manual_mappings")
PREPROCESSED_DIR	.env	23	PREPROCESSED_DIR=${OUTPUT_FOLDER}/processed_dataset_${TARGET_WIDTH}x${TARGET_HEIGHT}
PREPROCESSED_DIR	.env	27	PROCESSED_DATA_DIR=${PREPROCESSED_DIR}/auto_processed
PREPROCESSED_DIR	.env	32	MANUAL_MAPPING_DIR=${PREPROCESSED_DIR}/manual_mappings
PROCESSED_DATA_DIR	paths.py	55	PROCESSED_DATA_DIR = require_env_path("PROCESSED_DATA_DIR")
PROCESSED_DATA_DIR	config.py	55	PROCESSED_DATA_DIR = _get_path("PROCESSED_DATA_DIR", f"{PREPROCESSED_DIR}/auto_processed")
PROCESSED_DATA_DIR	.env	27	PROCESSED_DATA_DIR=${PREPROCESSED_DIR}/auto_processed
PROCESSED_DATA_DIR	analysis/images/resize/resize_remap_images.py	12	from paths import TARGET_WIDTH, TARGET_HEIGHT, TARGET_SIZE, ORIGINAL_MAPPING, PROCESSED_DATA_DIR as OUTPUT_DIR
PROCESSED_DATA_DIR	analysis/images/segmentation_mmseg/paths.py	49	PROCESSED_DATA_DIR = require_env_path("PROCESSED_DATA_DIR")
PROCESSED_DATA_DIR	analysis/images/segmentation_mmseg/predict_masks.py	11	from paths import PROCESSED_DATA_DIR, OUTPUT_MASKS_BASE_DIR
PROCESSED_DATA_DIR	analysis/images/segmentation_mmseg/predict_masks.py	43	path = Path(PROCESSED_DATA_DIR) / batch_str / f"image_mapping_{batch_str}_processed.json"
PROCESSED_DATA_DIR	analysis/images/segmentation_mmseg/predict_masks.py	47	path = Path(PROCESSED_DATA_DIR) / batch_str / f"image_mapping_{batch_str}_processed.json"
PROCESSED_DATA_DIR	file_utils/merge/merge_all_data.py	16	#processed_root_dir = os.getenv("PROCESSED_DATA_DIR")
PROCESSED_DATA_DIR	file_utils/merge/merge_all_data.py	16	#processed_root_dir = os.getenv("PROCESSED_DATA_DIR")
PROCESSED_IMAGES_DIR	paths.py	52	PROCESSED_IMAGES_DIR     = MANUAL_PROCESSED_DIR / "images"
PROCESSED_IMAGES_DIR	analysis/images/segmentation_mmseg/paths.py	44	PROCESSED_IMAGES_DIR = MANUAL_PROCESSED_DIR / "images"
PROCESSED_IMAGES_DIR	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	9	from paths import TARGET_SIZE, PROCESSED_IMAGES_DIR, PROCESSED_MASKS_DIR, MANUAL_THRESHOLD_MAPPING, ORIGINAL_MAPPING
PROCESSED_IMAGES_DIR	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	41	out_base = Path(args.output) if args.output else PROCESSED_IMAGES_DIR.parent
PROCESSED_IMAGES_DIR	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	42	images_out = PROCESSED_IMAGES_DIR
PROCESSED_MASKS_DIR	paths.py	53	PROCESSED_MASKS_DIR      = MANUAL_PROCESSED_DIR / "masks"
PROCESSED_MASKS_DIR	analysis/images/segmentation_mmseg/paths.py	45	PROCESSED_MASKS_DIR  = MANUAL_PROCESSED_DIR / "masks"
PROCESSED_MASKS_DIR	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	9	from paths import TARGET_SIZE, PROCESSED_IMAGES_DIR, PROCESSED_MASKS_DIR, MANUAL_THRESHOLD_MAPPING, ORIGINAL_MAPPING
PROCESSED_MASKS_DIR	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	43	masks_out  = PROCESSED_MASKS_DIR
PROCESSED_PARENT_DIR	config.py	54	PROCESSED_PARENT_DIR=_get_path("PROCESSED_PARENT_DIR", "output")
PROCESSED_PARENT_DIR	.env	26	PROCESSED_PARENT_DIR=${OUTPUT_FOLDER}
PROCESSED_PARENT_DIR	file_utils/merge/merge_all_data.py	88	processed_parent = os.getenv("PROCESSED_PARENT_DIR")
PROCESSED_PARENT_DIR	file_utils/merge/merge_all_data.py	88	processed_parent = os.getenv("PROCESSED_PARENT_DIR")
SURVEY_RESULTS	paths.py	36	SURVEY_RESULTS    = require_env_path("SURVEY_RESULTS")
SURVEY_RESULTS	config.py	45	SURVEY_RESULTS = _get_path("SURVEY_RESULTS", "results_surveys")
SURVEY_RESULTS	.env	13	SURVEY_RESULTS=${BASE_PATH}/results_surveys
SURVEY_RESULTS	file_utils/surveys/surveys_mapper.py	11	input_dir = os.getenv("SURVEY_RESULTS")
SURVEY_RESULTS	file_utils/surveys/surveys_mapper.py	12	print("SURVEY_RESULTS =", input_dir)
SURVEY_RESULTS	file_utils/surveys/surveys_mapper.py	11	input_dir = os.getenv("SURVEY_RESULTS")
TARGET_HEIGHT	paths.py	22	TARGET_HEIGHT = require_env_int("TARGET_HEIGHT")
TARGET_HEIGHT	paths.py	23	TARGET_SIZE   = (TARGET_WIDTH, TARGET_HEIGHT)
TARGET_HEIGHT	paths.py	24	TARGET_SUFFIX = f"{TARGET_WIDTH}x{TARGET_HEIGHT}"
TARGET_HEIGHT	config.py	48	TARGET_HEIGHT  = _get_int("TARGET_HEIGHT", 384)
TARGET_HEIGHT	config.py	49	TARGET_SIZE    = (TARGET_WIDTH, TARGET_HEIGHT)
TARGET_HEIGHT	config.py	50	TARGET_SUFFIX  = f"{TARGET_WIDTH}x{TARGET_HEIGHT}"
TARGET_HEIGHT	config.py	68	assert TARGET_WIDTH > 0 and TARGET_HEIGHT > 0
TARGET_HEIGHT	.env	17	TARGET_HEIGHT=384
TARGET_HEIGHT	.env	23	PREPROCESSED_DIR=${OUTPUT_FOLDER}/processed_dataset_${TARGET_WIDTH}x${TARGET_HEIGHT}
TARGET_HEIGHT	.env	33	MANUAL_PROCESSED_DIR=${MANUAL_MAPPING_DIR}/processed_${TARGET_WIDTH}x${TARGET_HEIGHT}
TARGET_HEIGHT	.env	35	MAPPING_PROCESSED_TOTAL=${MANUAL_PROCESSED_DIR}/mapping_processed_total_${TARGET_WIDTH}x${TARGET_HEIGHT}.json
TARGET_HEIGHT	analysis/images/resize/resize_remap_images.py	12	from paths import TARGET_WIDTH, TARGET_HEIGHT, TARGET_SIZE, ORIGINAL_MAPPING, PROCESSED_DATA_DIR as OUTPUT_DIR
TARGET_HEIGHT	analysis/images/resize/resize_remap_images.py	84	scale_y = orig_h / TARGET_HEIGHT
TARGET_HEIGHT	analysis/images/segmentation_mmseg/paths.py	31	TARGET_HEIGHT = int(os.environ.get("TARGET_HEIGHT", "384"))
TARGET_HEIGHT	analysis/images/segmentation_mmseg/paths.py	32	TARGET_SIZE   = (TARGET_WIDTH, TARGET_HEIGHT)
TARGET_HEIGHT	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	12	TARGET_HEIGHT = 192
TARGET_HEIGHT	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	14	TARGET_SIZE = (TARGET_WIDTH, TARGET_HEIGHT) # (Width, Height) for OpenCV resize
TARGET_HEIGHT	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	27	OUTPUT_BASE_FOLDER = JSON_MAPPING_PATH.parent / f"processed_dataset_{TARGET_WIDTH}x{TARGET_HEIGHT}"
TARGET_HEIGHT	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	38	NEW_JSON_MAPPING_FILENAME = f"{JSON_MAPPING_PATH.stem}_processed_{TARGET_WIDTH}x{TARGET_HEIGHT}.json"
TARGET_HEIGHT	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	140	output_img_filename = f"{img_id}_{TARGET_WIDTH}x{TARGET_HEIGHT}{img_suffix}"
TARGET_HEIGHT	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	142	output_mask_filename = f"{img_id}_mask_{TARGET_WIDTH}x{TARGET_HEIGHT}.png"
TARGET_HEIGHT	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	204	print(f"  Target Dimensions: {TARGET_WIDTH}x{TARGET_HEIGHT}")
TARGET_SIZE	paths.py	23	TARGET_SIZE   = (TARGET_WIDTH, TARGET_HEIGHT)
TARGET_SIZE	config.py	49	TARGET_SIZE    = (TARGET_WIDTH, TARGET_HEIGHT)
TARGET_SIZE	analysis/surveys/classifier/simple_classifier.py	28	TARGET_SIZE = (224, 224) # Define target size as a constant
