organoid_id,split,label
BA2 96_2 E3 split_1,train,Not Acceptable
BA2 96_2 E3 split_2,train,Not Acceptable
BA2 96_2 E4,train,Acceptable
BA2 96_2 E6,test,Acceptable
BA2 96_2 E8,train,Acceptable
BA2 96_2 E9,train,Not Acceptable
BA2 96_2 F11,test,Acceptable
BA2 96_2 F12,train,Not Acceptable
BA2 96_2 F3,train,Acceptable
BA2 96_2 F5,train,Acceptable
BA2 96_2 F6,train,Acceptable
BA2 96_2 F7,train,Not Acceptable
BA2 96_2 G1,train,Acceptable
BA2 96_2 G10,train,Acceptable
BA2 96_2 G11,train,Acceptable
BA2 96_2 G2,val,Acceptable
BA2 96_2 G3,train,Acceptable
BA2 96_2 G4,test,Not Acceptable
BA2 96_2 G6,train,Not Acceptable
BA2 96_2 G7,train,Not Acceptable
BA2 96_2 G9,train,Not Acceptable
BA2 96_2 H1,test,Acceptable
BA2 96_2 H10,train,Acceptable
BA2 96_2 H2,train,Not Acceptable
BA2 96_2 H3,train,Acceptable
BA2 96_2 H6,train,Acceptable
BA2 96_2 H8,train,Acceptable
